,x = -75 mm,,x = -25 mm,,x = 25 mm,,x = 125 mm,,x = 225 mm,,
z,u, u_rms,u, u_rms,u, u_rms,u, u_rms,u, u_rms,
m,m/s, m/s,m/s, m/s,m/s, m/s,m/s, m/s,m/s, m/s,
0.010,1.735,0.055,1.482,0.054,1.254,0.023,1.020,0.006,0.931,0.004,
0.020,NaN,NaN,NaN,NaN,0.683,0.037,NaN,NaN,0.965,0.004,
0.030,1.860,0.045,1.710,0.032,1.409,0.064,0.853,0.006,0.870,0.006,
0.040,NaN,NaN,NaN,NaN,2.450,0.026,NaN,NaN,0.761,0.004,
0.050,1.931,0.032,1.920,0.029,1.662,0.029,1.114,0.013,1.046,0.004,
0.060,NaN,NaN,NaN,NaN,2.491,0.033,NaN,NaN,2.089,0.082,
0.070,2.032,0.032,2.099,0.029,2.773,0.024,3.405,0.055,3.429,0.074,
0.080,NaN,NaN,NaN,NaN,2.861,0.025,NaN,NaN,4.262,0.034,
0.090,2.049,0.037,2.221,0.039,2.915,0.029,3.926,0.016,4.365,0.017,
