Time,South Central Fans,North Central Fans
s,C,C
0.00,4.99,11.45
12.00,4.99,11.45
38.50,4.99,11.45
68.50,4.99,11.45
98.50,4.99,11.47
128.50,4.99,11.47
158.50,4.99,11.52
188.50,8.99,11.41
218.50,16.73,11.41
248.50,18.15,11.27
278.50,20.02,11.33
308.50,21.68,11.33
338.50,22.60,11.33
368.50,23.51,11.33
398.50,24.83,11.33
428.50,25.38,10.69
458.50,26.69,10.69
488.50,27.88,10.43
518.50,28.80,10.27
548.00,29.42,10.27
578.00,30.14,10.04
608.50,30.63,9.93
638.50,30.47,9.82
668.50,30.11,9.71
698.50,30.31,9.54
727.00,30.27,9.43
755.50,30.46,9.43
787.00,31.28,9.43
818.50,32.20,9.43
848.50,33.03,9.43
878.50,33.07,9.43
908.50,32.90,9.43
938.50,33.11,9.21
967.50,33.04,9.21
997.50,33.07,9.21
1028.50,33.08,9.21
1058.50,33.11,9.21
1087.00,33.15,9.21
1116.50,32.98,9.21
1148.00,32.81,9.21
1178.50,32.52,9.21
1208.50,32.67,9.21
1238.50,32.11,9.21
1268.50,32.23,9.21
1298.50,32.70,9.43
1328.50,32.96,9.54
1355.50,33.17,9.54
1384.00,33.55,9.54
1416.00,33.34,9.54
1446.50,33.44,9.54
1477.00,33.78,9.54
1507.50,33.55,9.54
1537.50,33.44,9.54
1567.00,33.61,9.65
1597.00,34.12,9.76
1627.50,33.70,9.76
1658.00,32.12,9.76
1688.50,30.51,9.76
1718.50,29.17,9.76
1747.50,27.11,9.76
1777.50,25.14,9.76
1808.50,23.49,9.76
1838.50,21.71,9.44
1868.50,20.44,9.22
1897.50,19.68,9.11
1927.50,18.62,8.95
1958.50,18.18,8.76
1988.50,17.45,8.76
2018.50,17.33,8.76
2048.50,16.87,8.76
2078.50,16.76,8.76
2108.50,16.43,8.76
2138.50,16.43,8.87
2168.50,16.31,8.87
2198.50,16.19,8.87
2228.50,15.97,8.98
