Time,Based On Efficiency,Raw (Calculated)
s,kW,kW
0.00,1667.76,0.00
1.50,8178.71,0.00
18.00,13548.28,0.00
48.50,21677.12,0.00
78.50,25867.35,0.00
108.50,24315.49,0.00
138.48,22645.44,0.00
168.50,22118.96,0.00
198.50,20784.05,0.00
228.50,15878.99,0.00
258.50,11511.83,0.00
288.50,11099.87,0.00
318.50,12854.41,0.00
348.50,16123.48,0.00
378.50,19952.62,0.00
408.50,21177.44,0.00
438.50,21554.70,0.00
468.50,19957.92,0.00
498.50,18339.06,0.00
528.50,18288.64,0.00
558.50,20055.69,0.00
588.50,21941.55,0.00
618.50,22622.48,0.00
648.50,22445.00,0.00
678.50,22163.52,0.00
708.50,20945.44,0.00
738.50,22174.11,0.00
768.50,21554.83,0.00
798.50,19625.71,0.00
828.50,19457.66,0.00
858.50,20570.64,0.00
888.50,21078.58,0.00
918.50,22368.89,0.00
948.00,22404.48,0.00
978.00,23054.46,0.00
1008.50,20919.80,0.00
1038.50,22035.26,0.00
1068.50,24515.67,0.00
1098.50,26185.47,0.00
1128.50,24861.69,0.00
1158.50,25934.89,0.00
1188.50,25546.32,0.00
1218.50,24131.81,0.00
1247.50,22842.47,0.00
1277.50,22048.57,0.00
1308.50,21686.64,0.00
1338.50,22874.65,0.00
1368.50,25629.87,0.00
1398.50,26470.48,0.00
1428.50,27987.06,0.00
1458.50,27550.57,0.00
1488.50,26591.33,0.00
1518.00,11536.30,0.00
1548.00,14549.68,0.00
1578.50,15699.22,0.00
1608.50,14732.84,0.00
1638.50,19764.94,0.00
1668.50,19680.01,0.00
1698.50,18426.35,0.00
1728.50,20011.47,0.00
1758.00,20931.72,0.00
1788.00,19063.06,0.00
1817.50,19318.97,0.00
1847.50,19271.50,0.00
1878.50,17695.34,0.00
1908.00,17446.98,0.00
1938.00,17490.30,0.00
1968.50,16766.75,0.00
1998.50,17251.25,0.00
2028.50,17568.93,0.00
2058.50,17242.83,0.00
2088.50,17245.77,0.00
2118.50,18192.41,0.00
2148.00,18218.05,0.00
2178.00,20864.88,0.00
2208.50,25480.63,0.00
2238.00,7678.68,0.00
2268.00,202.86,0.00
2298.00,202.21,0.00
2328.00,202.10,0.00
2358.00,202.35,0.00
2388.00,202.66,0.00
2418.50,202.96,0.00
