Time,Loop 214,Loop 209,Loop 208,Loop 207,Loop 307,Loop 305,Loop 304,Loop 302,Loop 301,Loop 202
s,m3/s,m3/s,m3/s,m3/s,m3/s,m3/s,m3/s,m3/s,m3/s,m3/s
0.00,-28.50,47.42,41.43,41.73,33.91,42.11,29.09,7.49,8.93,-19.83
4.00,-16.01,58.66,52.49,53.53,45.68,59.91,30.12,7.80,8.93,-31.03
21.50,-15.26,59.50,52.56,53.09,53.07,84.09,17.54,-5.96,-5.79,-31.59
50.00,-16.96,59.51,51.02,59.98,57.86,93.01,20.03,-3.60,-6.07,-32.62
80.50,-14.81,65.03,45.34,69.45,68.03,109.09,25.56,0.35,-0.25,-26.35
111.00,-12.31,65.03,50.15,76.23,67.81,109.21,23.17,-0.33,-0.23,-27.99
141.50,-16.88,48.27,49.44,73.55,65.71,105.71,21.94,-0.88,-2.39,-28.33
172.50,-14.73,49.37,52.38,76.37,66.34,106.74,21.94,-0.88,-2.39,-28.56
202.50,-12.89,50.98,55.08,83.10,71.95,116.68,25.08,-1.98,1.09,-25.96
232.50,-9.77,55.50,60.08,90.80,75.89,121.44,25.08,-0.55,0.62,-21.49
262.50,-3.78,62.53,68.55,100.11,94.99,122.30,28.57,4.72,6.66,-18.98
292.50,0.14,64.88,77.08,104.24,107.55,129.55,32.60,7.59,10.06,-15.45
322.50,5.21,75.97,87.02,125.23,122.20,147.67,35.03,9.21,13.04,-11.92
352.50,6.94,79.90,92.41,134.69,137.71,155.64,36.08,9.21,13.04,-5.81
382.50,13.43,84.22,98.38,142.98,148.46,158.12,38.49,13.53,17.30,-2.10
412.00,5.99,83.35,99.94,142.21,153.46,162.20,43.93,22.13,26.31,2.23
442.00,9.76,86.59,95.42,134.18,150.97,159.38,42.58,22.69,15.57,-5.78
472.50,2.80,86.59,95.23,126.58,137.82,147.86,33.65,13.62,13.52,-7.45
502.50,1.57,73.45,81.60,122.92,134.69,146.54,37.88,18.45,15.06,-6.82
532.50,-6.84,68.18,80.06,126.55,136.46,155.94,37.88,18.45,15.06,5.87
562.50,-22.33,68.68,79.26,125.81,142.79,165.01,39.19,77.17,33.69,28.05
592.50,-16.99,68.08,77.28,120.06,192.53,210.52,38.45,79.33,23.55,19.82
622.50,-14.28,65.96,77.11,123.73,135.92,155.63,36.58,76.96,32.89,19.43
652.50,-35.66,65.96,75.46,128.09,135.90,158.66,54.89,88.81,37.82,32.10
681.00,-52.42,44.13,60.55,108.71,120.55,146.34,63.94,95.32,61.46,60.66
710.00,-55.45,42.05,55.81,97.28,97.69,118.80,63.94,95.32,61.46,54.24
741.50,-52.63,39.70,51.82,81.62,84.02,96.42,54.49,-19.71,50.46,42.42
772.50,-59.63,36.42,43.11,71.94,73.27,89.69,50.91,-19.34,45.42,40.92
801.00,-64.33,30.47,38.27,59.74,59.06,64.25,55.28,-18.58,49.28,44.38
829.50,-63.76,30.51,37.55,62.47,59.84,58.83,49.86,-27.86,41.38,37.30
859.50,-63.93,28.73,37.91,56.61,55.32,56.29,48.14,-29.21,40.22,36.00
889.50,-64.50,27.60,37.10,55.71,54.89,57.23,48.14,-29.21,40.22,36.59
919.50,-63.90,27.09,35.75,55.43,54.54,57.29,49.92,5.31,41.75,38.29
950.00,-62.91,26.25,35.37,54.53,54.62,56.72,49.52,3.89,41.60,38.85
980.50,-64.23,24.72,32.75,51.36,51.76,55.75,49.41,3.57,40.39,39.94
1011.50,-65.07,24.72,32.75,51.36,50.79,53.63,48.23,2.21,40.57,39.07
1042.50,-67.21,21.32,30.71,48.52,47.83,52.43,47.04,0.74,38.35,37.22
1072.50,-69.79,19.21,28.34,46.52,46.38,48.39,47.04,0.74,38.35,32.47
