Time,HRRPUA
0.0,0.0
4.7,0.0
9.4,0.0
14.1,13.7
18.8,84.8
23.5,112.0
28.2,103.1
32.9,93.1
37.6,72.4
42.3,52.0
47.0,37.8
51.7,30.2
56.4,24.5
61.1,21.2
65.8,24.1
70.5,21.5
75.2,16.8
80.0,13.2
84.7,10.7
89.4,9.2
94.1,8.6
98.8,8.0
103.5,7.8
108.2,7.9
112.9,7.6
117.6,7.6
122.3,7.5
127.0,7.7
131.7,7.7
136.4,7.8
141.1,8.0
145.8,8.0
150.5,8.0
155.2,8.3
159.9,8.8
164.6,8.7
169.3,8.7
174.0,8.7
178.7,8.9
183.4,9.2
188.1,9.0
192.8,9.2
197.5,9.3
202.2,9.4
206.9,9.8
211.6,9.7
216.3,10.0
221.0,10.1
225.8,10.2
230.5,10.4
235.2,10.4
239.9,10.6
244.6,10.6
249.3,10.8
254.0,10.9
258.7,11.0
263.4,11.1
268.1,11.1
272.8,11.4
277.5,11.5
282.2,11.6
286.9,11.5
291.6,11.6
296.3,11.7
301.0,11.6
305.7,11.8
310.4,11.8
315.1,11.6
319.8,11.7
324.5,12.0
329.2,12.0
333.9,12.0
338.6,12.0
343.3,12.0
348.0,12.0
352.7,11.6
357.4,12.0
362.1,11.8
366.8,11.9
371.5,12.0
376.2,11.9
381.0,11.8
385.7,11.7
390.4,11.8
395.1,11.7
399.8,11.6
404.5,11.6
409.2,11.9
413.9,11.6
418.6,11.8
423.3,11.9
428.0,11.7
432.7,11.9
437.4,11.7
442.1,11.6
446.8,11.7
451.5,11.5
456.2,11.8
460.9,11.6
465.6,11.6
470.3,11.7
475.0,11.7
479.7,11.7
484.4,11.5
489.1,11.5
493.8,11.5
498.5,11.7
503.2,11.6
507.9,11.4
512.6,11.7
517.3,11.5
522.0,11.6
526.8,11.5
531.5,11.6
536.2,11.4
540.9,11.4
545.6,11.2
550.3,11.3
555.0,11.1
559.7,11.2
564.4,11.2
569.1,11.1
573.8,11.2
578.5,11.0
583.2,10.9
587.9,11.1
592.6,10.9
597.3,10.8
602.0,11.0
606.7,10.9
611.4,10.8
616.1,11.0
620.8,11.0
625.5,10.9
630.2,10.9
634.9,10.9
639.6,10.9
644.3,11.0
649.0,11.1
653.7,11.0
658.4,11.0
663.1,11.1
667.8,11.0
672.5,11.1
677.2,11.4
682.0,10.9
686.7,11.2
691.4,11.3
696.1,11.1
700.8,11.3
705.5,11.4
710.2,11.3
714.9,11.1
719.6,10.9
724.3,11.2
729.0,11.1
733.7,11.0
738.4,11.0
743.1,11.4
747.8,11.2
752.5,11.2
757.2,11.0
761.9,11.0
766.6,11.1
771.3,10.9
776.0,11.1
780.7,10.9
785.4,11.2
790.1,11.3
794.8,11.4
799.5,11.5
804.2,11.4
808.9,11.5
813.6,11.6
818.3,11.7
823.0,11.7
827.8,11.8
832.5,12.0
837.2,12.4
841.9,12.6
846.6,12.6
851.3,12.8
856.0,12.8
860.7,12.6
865.4,12.9
870.1,12.9
874.8,12.7
879.5,12.6
884.2,12.4
888.9,12.5
893.6,12.3
898.3,12.4
903.0,12.5
907.7,12.4
912.4,12.2
917.1,12.3
921.8,12.2
926.5,12.3
931.2,12.2
935.9,12.2
940.6,12.4
945.3,12.2
950.0,12.4
954.7,12.3
959.4,12.2
964.1,12.2
968.8,12.2
973.5,12.2
978.2,12.2
983.0,12.3
987.7,12.4
992.4,12.3
997.1,12.3
1001.8,12.2
1006.5,12.6
1011.2,12.8
1015.9,12.7
1020.6,12.8
1025.3,12.7
1030.0,12.7
1034.7,12.4
1039.4,12.5
1044.1,12.4
1048.8,12.5
1053.5,12.4
1058.2,12.3
1062.9,12.2
1067.6,12.2
1072.3,12.5
1077.0,12.2
1081.7,12.5
1086.4,12.4
1091.1,12.5
1095.8,12.5
1100.5,12.6
1105.2,12.7
1109.9,12.6
1114.6,12.6
1119.3,12.5
1124.0,12.8
1128.8,12.4
1133.5,12.8
1138.2,12.9
1142.9,12.9
1147.6,12.7
1152.3,13.1
1157.0,12.9
1161.7,13.2
1166.4,13.1
1171.1,12.9
1175.8,13.0
1180.5,13.4
1185.2,13.2
1189.9,13.5
1194.6,13.6
1199.3,13.9
1204.0,14.0
