Time,HRRPUA
0.0,0.0
7.9,0.0
15.9,0.0
23.8,0.0
31.8,0.0
39.7,0.0
47.7,0.0
55.6,0.0
63.6,0.0
71.5,0.0
79.5,0.0
87.4,0.0
95.4,59.4
103.3,144.7
111.3,120.8
119.2,91.1
127.2,66.3
135.1,40.3
143.1,23.4
151.0,15.1
158.9,10.9
166.9,8.3
174.8,6.1
182.8,4.8
190.7,4.3
198.7,3.7
206.6,3.4
214.6,3.1
222.5,2.7
230.5,2.3
238.4,1.8
246.4,1.3
254.3,1.2
262.3,1.0
270.2,0.8
278.2,0.6
286.1,0.4
294.1,0.3
302.0,0.4
309.9,0.3
317.9,0.4
325.8,0.3
333.8,0.3
341.7,0.2
349.7,0.1
357.6,0.3
365.6,0.4
373.5,0.3
381.5,0.4
389.4,0.3
397.4,0.3
405.3,0.3
413.3,0.2
421.2,0.2
429.2,0.2
437.1,0.3
445.1,0.3
453.0,0.3
460.9,0.4
468.9,0.2
476.8,0.2
484.8,0.2
492.7,0.3
500.7,0.3
508.6,0.3
516.6,0.3
524.5,0.3
532.5,0.2
540.4,0.2
548.4,0.3
556.3,0.3
564.3,0.4
572.2,0.3
580.2,0.3
588.1,0.3
596.1,0.3
604.0,0.4
611.9,0.4
619.9,0.4
627.8,0.4
635.8,0.3
643.7,0.4
651.7,0.3
659.6,0.3
667.6,0.3
675.5,0.4
683.5,0.3
691.4,0.4
699.4,0.3
707.3,0.3
715.3,0.4
723.2,0.4
731.2,0.4
739.1,0.3
747.1,0.4
755.0,0.4
762.9,0.4
770.9,0.4
778.8,0.4
786.8,0.4
794.7,0.4
802.7,0.4
810.6,0.5
818.6,0.4
826.5,0.5
834.5,0.5
842.4,0.4
850.4,0.5
858.3,0.5
866.3,0.6
874.2,0.6
882.2,0.6
890.1,0.5
898.1,0.5
906.0,0.6
913.9,0.6
921.9,0.6
929.8,0.7
937.8,0.7
945.7,0.5
953.7,0.6
961.6,0.7
969.6,0.7
977.5,0.7
985.5,0.7
993.4,0.7
1001.4,0.7
1009.3,0.7
1017.3,0.8
1025.2,0.9
1033.2,0.9
1041.1,0.8
1049.1,1.0
1057.0,0.9
1064.9,1.0
1072.9,1.0
1080.8,1.0
1088.8,1.1
1096.7,1.0
1104.7,1.1
1112.6,1.1
1120.6,1.1
1128.5,1.1
1136.5,1.2
1144.4,1.3
1152.4,1.2
1160.3,1.2
1168.3,1.2
1176.2,1.1
1184.2,1.2
1192.1,1.2
1200.1,1.2
1208.0,1.2
