Time,HRRPUA
0.0,0.0
4.7,0.0
9.4,0.0
14.1,0.0
18.8,0.0
23.5,0.0
28.3,0.0
33.0,0.0
37.7,0.0
42.4,0.0
47.1,0.0
51.8,0.0
56.5,0.0
61.2,0.0
65.9,0.0
70.6,0.0
75.4,0.0
80.1,0.0
84.8,0.0
89.5,0.0
94.2,0.0
98.9,0.0
103.6,0.0
108.3,0.0
113.0,0.0
117.7,0.0
122.5,0.0
127.2,0.0
131.9,0.0
136.6,0.0
141.3,0.0
146.0,0.0
150.7,0.0
155.4,0.0
160.1,0.0
164.8,0.0
169.6,0.0
174.3,0.0
179.0,63.0
183.7,122.8
188.4,150.1
193.1,162.4
197.8,175.6
202.5,182.5
207.2,192.3
211.9,194.1
216.7,190.7
221.4,184.2
226.1,182.4
230.8,174.6
235.5,169.2
240.2,166.6
244.9,157.3
249.6,149.5
254.3,142.9
259.0,137.2
263.7,129.0
268.5,121.9
273.2,113.9
277.9,108.8
282.6,105.2
287.3,101.0
292.0,100.2
296.7,96.0
301.4,92.8
306.1,87.5
310.8,83.7
315.6,81.1
320.3,76.7
325.0,72.0
329.7,69.9
334.4,67.5
339.1,65.9
343.8,61.8
348.5,59.1
353.2,55.3
357.9,53.6
362.7,52.8
367.4,51.2
372.1,48.5
376.8,45.8
381.5,42.7
386.2,40.3
390.9,39.0
395.6,37.2
400.3,35.9
405.0,33.9
409.8,32.6
414.5,32.1
419.2,31.7
423.9,30.6
428.6,28.7
433.3,28.3
438.0,28.1
442.7,28.8
447.4,28.7
452.1,28.0
456.9,27.1
461.6,27.3
466.3,27.9
471.0,27.5
475.7,27.0
480.4,27.1
485.1,27.4
489.8,27.5
494.5,26.3
499.2,25.8
503.9,26.0
508.7,25.6
513.4,26.1
518.1,25.2
522.8,24.4
527.5,24.5
532.2,24.2
536.9,24.6
541.6,24.3
546.3,25.1
551.0,25.5
555.8,27.2
560.5,27.9
565.2,27.6
569.9,27.2
574.6,26.6
579.3,25.4
584.0,24.1
588.7,23.4
593.4,21.9
598.1,20.6
602.9,19.1
607.6,18.6
612.3,18.3
617.0,17.8
621.7,17.7
626.4,17.1
631.1,16.5
635.8,16.3
640.5,16.2
645.2,16.3
650.0,15.3
654.7,14.5
659.4,14.6
664.1,15.9
668.8,16.7
673.5,16.0
678.2,15.2
682.9,14.5
687.6,15.8
692.3,17.3
697.1,20.3
701.8,23.8
706.5,27.6
711.2,33.4
715.9,33.5
720.6,33.0
725.3,32.1
730.0,31.4
734.7,29.5
739.4,28.1
744.1,25.9
748.9,24.3
753.6,22.4
758.3,21.5
763.0,21.1
767.7,20.4
772.4,21.7
777.1,24.8
781.8,26.7
786.5,27.3
791.2,32.7
796.0,30.5
800.7,25.8
805.4,21.6
810.1,18.2
814.8,15.6
819.5,13.8
824.2,12.4
828.9,11.6
833.6,11.0
838.3,10.1
843.1,9.8
847.8,9.3
852.5,9.0
857.2,8.3
861.9,8.0
866.6,7.6
871.3,7.0
876.0,6.6
880.7,6.3
885.4,5.9
890.2,5.6
894.9,5.4
899.6,5.2
904.3,4.8
909.0,4.3
913.7,4.1
918.4,3.7
923.1,3.9
927.8,3.4
932.5,3.2
937.3,2.9
942.0,2.5
946.7,2.7
951.4,2.0
956.1,2.0
960.8,1.9
965.5,2.1
970.2,1.8
974.9,2.0
979.6,1.6
984.3,1.4
989.1,1.7
993.8,1.3
998.5,1.3
1003.2,1.2
1007.9,1.3
1012.6,1.1
1017.3,1.1
1022.0,1.1
1026.7,0.8
1031.4,1.0
1036.2,0.9
1040.9,0.8
1045.6,0.9
1050.3,0.7
1055.0,1.1
1059.7,0.8
1064.4,0.9
1069.1,0.8
1073.8,0.8
1078.5,1.0
1083.3,1.0
1088.0,0.8
1092.7,0.8
1097.4,0.9
1102.1,0.9
1106.8,0.9
1111.5,0.7
1116.2,0.9
1120.9,0.7
1125.6,0.9
1130.4,0.6
1135.1,0.7
1139.8,0.7
1144.5,0.7
1149.2,0.7
1153.9,0.6
1158.6,0.7
1163.3,0.7
1168.0,0.8
1172.7,0.6
1177.5,0.7
1182.2,0.6
1186.9,0.8
1191.6,0.7
1196.3,0.7
1201.0,0.8
