w2/u2*,"z,total correlation"
,m
0.034896401,3.783102144
0.109051254,3.783102144
0.117775354,1496.216898
0.152671756,1484.867591
0.191930207,1482.97604
0.239912759,1471.626734
0.25736096,3.783102144
0.283533261,1458.385876
0.318429662,1454.602774
0.335877863,1407.313997
0.340239913,1428.121059
0.344601963,1443.253468
0.366412214,1395.964691
0.401308615,3.783102144
0.414394766,1390.290038
0.440567067,1382.723834
0.466739368,1377.04918
0.497273719,1371.374527
0.501635769,1354.350567
0.501635769,1335.435057
0.514721919,3.783102144
0.519083969,1320.302648
0.567066521,1312.736444
0.628135224,1293.820933
0.632497274,1273.013871
0.636859324,1257.881463
0.649945474,5.674653216
0.658669575,1244.640605
0.684841876,1235.18285
0.715376227,1216.267339
0.724100327,1195.460277
0.724100327,1182.21942
0.754634678,1163.303909
0.767720829,5.674653216
0.780806979,1155.737705
0.79825518,1119.798235
0.80261723,1138.713745
0.815703381,1106.557377
0.837513631,1091.424968
0.850599782,7.566204288
0.854961832,1072.509458
0.876772083,1051.702396
0.907306434,1025.220681
0.933478735,1010.088272
0.942202835,9.457755359
0.946564885,987.3896595
0.964013086,955.2332913
0.994547437,926.8600252
1.029443839,896.5952081
1.05561614,862.5472888
1.07742639,9.457755359
1.094874591,828.4993695
1.121046892,803.9092055
1.129770992,9.457755359
1.151581243,771.7528373
1.160305344,9.457755359
1.177753544,756.6204288
1.177753544,94.57755359
1.190839695,113.4930643
1.195201745,728.2471627
1.208287895,707.4401009
1.212649945,79.44514502
1.217011996,132.408575
1.225736096,688.5245902
1.247546347,7.566204288
1.251908397,141.8663304
1.251908397,64.31273644
1.256270447,654.4766709
1.282442748,618.5372005
1.286804798,151.3240858
1.295528899,54.85498108
1.308615049,584.4892812
1.32606325,168.3480454
1.3304253,550.4413619
1.33478735,54.85498108
1.34351145,179.6973518
1.34351145,3.783102144
1.356597601,512.6103405
1.374045802,480.4539723
1.374045802,198.6128625
1.391494002,52.96343001
1.395856052,3.783102144
1.400218103,433.1651955
1.404580153,228.8776797
1.422028353,391.5510719
1.422028353,259.1424968
1.426390403,355.6116015
1.430752454,296.9735183
1.435114504,327.2383354
1.465648855,7.566204288
1.483097056,51.07187894
1.526717557,7.566204288
1.557251908,47.2887768
1.574700109,9.457755359
1.631406761,9.457755359
1.640130862,47.2887768
1.714285714,15.13240858
1.731733915,49.18032787
1.792802617,45.39722573
1.805888768,11.34930643
1.86259542,41.61412358
1.901853871,11.34930643
1.932388222,41.61412358
1.958560523,13.2408575
2.010905125,37.83102144
2.032715376,13.2408575
2.115594329,37.83102144
2.154852781,13.2408575
2.211559433,37.83102144
2.281352236,13.2408575
2.372955289,13.2408575
2.39040349,34.04791929
2.455834242,17.02395965
2.529989095,32.15636822
2.564885496,17.02395965
2.595419847,32.15636822
2.65648855,28.37326608
2.6608506,17.02395965
2.713195202,17.02395965
2.756815703,26.48171501
2.782988004,11.34930643
2.813522356,26.48171501
2.870229008,11.34930643
2.892039258,26.48171501
2.93129771,17.02395965
2.957470011,20.80706179
2.992366412,17.02395965
3.083969466,18.91551072
