Time,TC1,TC2,TC3,TC4,TC5,TC6,TC7,TC8,TC9,TC10,TC11,TC12,TC13,TC14,TC15,TC16,TC17,TC18,TC19,HF1,HF2,HF3,HF4,Upper Pressure,Lower Pressure,Fuel Mass,Upper O2,Upper CO,Upper CO2,Lower O2,Lower CO,Lower CO2,Adjusted Upper O2,Adjusted Upper CO,Adjusted Upper CO2,Adjusted Lower O2,Adjusted Lower CO,Adjusted Lower CO2,Adjusted Burning rate,Total Burning Rate
s,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,kW/m2,kW/m2,kW/m2,kW/m2,Pa,Pa,g,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,g/m^2-s,kg/s
   0.,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,  -0.25,  -0.18,  -0.18,   0.16,      0.0,      0.0,   0.8,  2.144E-01, -2.230E-05,  1.554E-04,  2.133E-01, -4.900E-05,  1.523E-03,  2.146E-01, -2.073E-05,  1.773E-04,  2.129E-01,  4.151E-04,  1.444E-03,   4.4, 0.000126
   5.,  56.8,  39.4,  32.9,  26.3,  21.3,  17.7,  16.0,   9.5,  10.7,   8.0,   6.7,   9.0,  41.7,  25.5,  12.9,   4.0,  55.0,  92.2, 127.1,  29.45,   1.75,   3.52,   9.61,      0.2,      0.8,   0.8,  2.146E-01, -1.994E-05,  1.593E-04,  2.131E-01, -1.962E-05,  1.449E-03,  2.136E-01,  1.886E-05,  4.165E-04,  2.097E-01,  6.429E-04,  3.115E-03,   5.4, 0.000154
  10., 280.1, 208.8, 173.4, 137.9, 118.1, 103.7,  98.9,  74.1,  75.7,  64.2,  45.2,  18.1, 232.5, 144.5,  76.2,  25.7, 307.1, 385.1, 429.2,  23.61,   4.34,  10.55,  30.73,      0.2,      0.1,   0.8,  2.140E-01, -3.480E-06,  1.585E-04,  2.131E-01, -3.394E-05,  1.465E-03,  2.090E-01,  1.627E-04,  1.562E-03,  2.004E-01,  1.087E-03,  1.002E-02,   6.7, 0.000190
  15., 430.3, 365.8, 318.2, 270.2, 247.7, 229.3, 216.3, 170.9, 177.4, 150.9, 112.8,  14.0, 459.6, 323.1, 156.9,  53.2, 489.5, 518.0, 514.9,  26.72,   7.40,  19.43,  37.06,      0.2,     -0.6,   0.8,  2.130E-01, -8.184E-06,  1.598E-04,  2.132E-01,  9.490E-06,  2.781E-03,  1.952E-01,  4.033E-04,  3.527E-03,  1.790E-01,  1.766E-03,  2.636E-02,   7.2, 0.000203
  20., 479.7, 444.9, 414.9, 366.4, 345.7, 320.1, 300.5, 246.8, 260.5, 230.8, 182.7,  17.9, 561.2, 444.0, 238.8,  87.7, 540.3, 520.2, 509.4,  26.36,   9.95,  21.00,  32.31,      0.3,      0.1,   0.8,  2.130E-01, -8.498E-06,  1.635E-04,  2.129E-01,  1.473E-04,  1.002E-02,  1.764E-01,  7.244E-04,  5.973E-03,  1.523E-01,  3.174E-03,  4.559E-02,   8.4, 0.000239
  25., 498.3, 489.3, 462.2, 416.2, 390.5, 371.0, 356.4, 299.2, 314.0, 280.2, 236.2,  16.1, 611.1, 491.8, 303.7, 122.1, 572.6, 492.4, 482.0,  27.38,  11.78,  22.14,  31.73,      0.2,     -0.3,   0.8,  2.135E-01, -4.107E-06,  1.560E-04,  2.100E-01,  5.528E-04,  2.636E-02,  1.520E-01,  1.433E-03,  9.168E-03,  1.285E-01,  5.473E-03,  6.014E-02,   8.3, 0.000237
  30., 513.4, 511.2, 488.6, 452.1, 426.0, 403.2, 390.4, 333.3, 346.5, 315.2, 274.2,  15.1, 634.7, 562.1, 365.9, 154.7, 583.0, 474.8, 467.3,  26.21,  13.79,  24.06,  30.05,      0.2,     -0.5,   0.8,  2.143E-01, -2.041E-05,  1.516E-04,  1.998E-01,  1.040E-03,  4.559E-02,  1.256E-01,  2.624E-03,  1.235E-02,  1.066E-01,  8.414E-03,  6.947E-02,  10.3, 0.000291
  35., 527.9, 533.3, 510.0, 476.9, 454.8, 434.1, 418.5, 357.7, 370.3, 342.0, 306.1,  13.5, 638.0, 632.3, 462.4, 194.7, 593.2, 471.7, 447.6,  23.36,  19.75,  27.91,  27.17,      0.2,     -0.4,   0.8,  2.147E-01, -8.811E-06,  1.667E-04,  1.787E-01,  1.696E-03,  6.014E-02,  1.015E-01,  4.548E-03,  1.533E-02,  8.780E-02,  1.227E-02,  7.659E-02,  13.6, 0.000386
  40., 518.4, 535.1, 517.2, 488.5, 467.0, 449.6, 430.1, 372.3, 387.4, 363.5, 330.1,  12.2, 620.1, 699.5, 635.3, 262.8, 579.4, 466.8, 436.1,  22.90,  28.83,  36.58,  24.91,      0.2,     -0.5,   0.7,  2.151E-01, -1.947E-05,  1.579E-04,  1.523E-01,  3.092E-03,  6.947E-02,  8.128E-02,  7.440E-03,  1.772E-02,  7.027E-02,  1.425E-02,  8.181E-02,  16.7, 0.000474
